projid,external_management,client_base,risk,contract_type,Contractor_type,Delivery_model,state,jv,Sector,Profit Center Lock indicator,recur_revenue,Service_focus,Contract_type2,actual_margin,original_bid_margin,Days,start_year,Bid_margin_per_day
50,no,Private Sector,1,1,1,1,Alberta,no,Red,yes,N,1,Type 1,10502173.88,8555180.79,1644,2014," 5,204 "
51,no,Private Sector,1,1,1,1,Alberta,no,Red,yes,N,1,Type 1,1667763.6,1101097.37,332,2014," 3,317 "
52,no,Public Sector,1,1,1,1,British Columbia,no,Red,yes,N,6,Type 1,225667.85,145392.23,973,2014, 149 
53,no,Public Sector,3,2,1,1,Ontario,no,Red,yes,N,6,Type 2,-292546.82,292068.57,1095,2012, 267 
54,no,Public Sector,1,2,1,1,Manitoba,no,Red,yes,N,6,Type 2,-1685682.68,199438.09,1127,2013, 177 
55,no,Public Sector,1,2,1,3,Alberta,no,Red,yes,N,6,Type 1,372001.31,-35551.03,503,2014,-71 
56,no,Public Sector,3,2,1,1,Alberta,no,Red,yes,N,6,Type 2,3360954.05,631151.95,1427,2014, 442 
57,no,Public Sector,3,2,1,3,British Columbia,no,Red,yes,N,6,Type 2,620332.63,635799.92,653,2013, 974 
58,no,Public Sector,3,2,1,1,Saskatchewan,no,Red,no,N,6,Type 2,-36249.24,0,893,2014, -   
59,no,Public Sector,1,2,1,3,Alberta,no,Red,yes,N,6,Type 1,1912572.3,-3995738.47,484,2014,"-8,256 "
60,no,Public Sector,2,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,177778.73,456826.07,278,2016," 1,643 "
61,no,Private Sector,2,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,275174.33,0,692,2016, -   
62,no,Private Sector,2,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,1322620.19,529939.93,655,2016, 809 
63,no,Public Sector,3,2,1,1,British Columbia,no,Red,yes,N,12,Type 2,634380.31,306932.09,475,2014, 646 
64,no,Private Sector,1,1,1,2,British Columbia,no,Red,yes,N,13,Type 1,104864.08,4715.69,242,2016, 19 
65,no,Public Sector,3,2,1,3,Alberta,no,Red,yes,N,6,Type 2,1317566.05,2000000.2,1002,2012," 1,996 "
66,no,Public Sector,1,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,250417.84,327780.17,287,2016," 1,142 "
67,no,Public Sector,3,2,1,1,British Columbia,no,Red,yes,N,6,Type 2,33944.3,16801.56,1043,2014, 16 
68,no,Public Sector,2,2,1,1,Alberta,no,Red,yes,N,6,Type 2,270860.48,6775.08,1706,2012, 4 
69,no,Public Sector,3,2,1,1,Saskatchewan,no,Red,yes,N,6,Type 2,0,-2940697.8,912,2014,"-3,224 "
70,no,Private Sector,1,1,1,1,Alberta,no,Red,yes,N,1,Type 3,1356274.63,448976.77,155,2015," 2,897 "
71,no,Public Sector,3,1,1,1,Ontario,no,Green,yes,N,14,Type 2,3968240.31,1016670,226,2014," 4,499 "
72,no,Private Sector,1,1,1,2,Alberta,no,Red,yes,N,5,Type 3,8826060.27,20052428.36,0,2015, -   
73,no,Private Sector,1,1,1,2,Alberta,no,Red,yes,N,5,Type 3,7122839.19,3320664.69,0,2015, -   
74,no,Private Sector,1,1,1,2,Alberta,no,Red,yes,N,5,Type 1,-347958.04,3605000,730,2015," 4,938 "
75,no,Private Sector,1,1,1,2,Alberta,no,Red,yes,N,5,Type 1,2105592.82,3676000,0,2015, -   
76,no,Private Sector,1,1,1,1,Saskatchewan,no,Red,yes,N,5,Type 3,26405247.27,6038428.01,0,2014, -   
77,no,Private Sector,1,1,1,1,Saskatchewan,no,Red,yes,N,5,Type 3,25428442.16,7818181.82,0,2015, -   
78,no,Private Sector,1,1,1,2,British Columbia,no,Red,yes,N,13,Type 1,-37146.24,26691.78,728,2015, 37 
79,no,Public Sector,2,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,976296.05,656800.54,296,2016," 2,219 "
80,no,Private Sector,2,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,-1204.07,5223.7,273,2016, 19 
81,no,Public Sector,3,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,570908.09,2180880,599,2016," 3,641 "
82,no,Public Sector,2,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,64837.65,101575,265,2016, 383 
83,no,Private Sector,1,1,1,2,Ontario,no,Blue,yes,Y,11,Type 3,28524.98,25696.4,789,2014, 33 
84,no,Private Sector,1,1,1,1,Alberta,no,Red,yes,N,1,Type 1,13826276.44,11615472,0,2014, -   
85,no,Private Sector,1,1,1,1,Alberta,no,Red,yes,N,1,Type 1,1870674.21,11534857.83,246,2015," 46,890 "
86,no,Public Sector,3,2,1,1,British Columbia,no,Red,yes,N,12,Type 2,-122225.39,3418504.24,1079,2012," 3,168 "
87,no,Public Sector,2,2,1,1,Alberta,no,Red,yes,N,12,Type 2,-1440261.01,412261.62,1216,2012, 339 
88,no,Private Sector,3,2,1,1,Alberta,no,Red,yes,N,6,Type 2,-959827.74,341863.93,911,2013, 375 
89,no,Private Sector,3,2,1,1,Alberta,no,Red,yes,N,6,Type 2,-798518.94,909156.7,880,2013," 1,033 "
90,no,Public Sector,3,2,1,1,Alberta,no,Red,yes,N,6,Type 2,796852.55,701300.67,2068,2012, 339 
91,no,Public Sector,3,2,1,1,Alberta,no,Red,yes,N,6,Type 2,803567.42,266134.61,747,2013, 356 
92,no,Public Sector,3,2,1,1,Alberta,no,Red,yes,N,6,Type 2,169067.04,39828.72,1576,2013, 25 
93,no,Public Sector,2,2,1,1,Alberta,no,Red,yes,N,12,Type 2,31632.84,1246.97,146,2015, 9 
94,no,Public Sector,1,1,1,1,Alberta,no,Red,yes,N,12,Type 1,19344094.84,13292327,1277,2012," 10,409 "
95,no,Private Sector,1,1,1,2,Ontario,no,Blue,yes,Y,11,Type 2,-378698.25,186090.03,1779,2012, 105 
96,no,Private Sector,2,2,1,1,Alberta,no,Red,yes,N,12,Type 2,-891781.09,620863.2,918,2013, 676 
97,no,Private Sector,1,1,1,1,Alberta,no,Red,yes,N,1,Type 1,1175984.02,1150450.32,1015,2014," 1,133 "
98,no,Private Sector,1,1,1,2,Ontario,no,Blue,yes,Y,11,Type 1,1120348.39,1463410.19,1314,2013," 1,114 "
99,no,Private Sector,1,1,1,1,Alberta,no,Red,yes,N,1,Type 3,2486777.96,1715019.69,1017,2014," 1,686 "
100,no,Private Sector,1,1,1,1,Alberta,no,Red,no,N,11,Type 1,-2493918.2,815222.57,1374,2013, 593 
101,no,Private Sector,3,2,1,1,British Columbia,no,Red,no,N,12,Type 1,-867140.85,0,761,2014, -   
102,no,Private Sector,1,1,1,2,Ontario,no,Blue,yes,Y,11,Type 2,-29248,49999.99,632,2013, 79 
103,no,Public Sector,3,2,1,1,Alberta,no,Red,yes,N,6,Type 2,-761055.87,3641355.17,1444,2012," 2,522 "
104,no,Public Sector,3,2,1,1,Saskatchewan,yes,Red,no,N,6,Type 1,21622392.99,17080825,975,2014," 17,519 "
105,no,Public Sector,3,2,1,1,British Columbia,no,Red,yes,N,6,Type 2,1036935.62,412122.08,1699,2012, 243 
106,no,Public Sector,2,2,1,1,British Columbia,no,Red,yes,N,6,Type 1,145128.68,88188.16,1113,2014, 79 
107,no,Private Sector,3,1,1,1,Alberta,no,Red,yes,N,4,Type 2,-238785.63,251852.06,902,2014, 279 
108,no,Private Sector,3,1,1,1,Alberta,no,Red,yes,N,1,Type 2,377510.05,315890.94,667,2015, 474 
