projid,external_management,client_base,risk,contract_type,Contractor_type,Delivery_model,state,jv,Sector,Profit Center Lock indicator,recur_revenue,Service_focus,Contract_type2,actual_margin,original_bid_margin,Days,start_year,Bid_margin_per_day
218,no,Public Sector,1,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,-402380.99,236343.66,67,2015," 3,528 "
219,no,Public Sector,1,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,92279.29,44676.85,81,2015, 552 
220,no,Public Sector,2,1,1,1,Ontario,no,Yellow,no,N,7,Type 3,2953131.81,6944132.56,465,2015," 14,934 "
221,no,Public Sector,1,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,-2061184.64,703779.23,97,2015," 7,255 "
222,no,Public Sector,1,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,765680.31,1132426.14,97,2015," 11,674 "
223,no,Public Sector,1,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,105842.44,224287.24,97,2015," 2,312 "
224,no,Public Sector,2,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,-3694159.58,9601882.79,1165,2015," 8,242 "
225,no,Public Sector,1,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,144936.45,111000.77,97,2015," 1,144 "
226,no,Public Sector,1,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,339409.22,140387.94,67,2015," 2,095 "
227,no,Private Sector,2,1,1,1,Ontario,no,Yellow,yes,N,7,Type 1,2236190.5,2090539.37,312,2015," 6,700 "
228,no,Private Sector,1,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,480905.39,137416.14,67,2015," 2,051 "
229,no,Public Sector,1,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,1861098.49,353947.25,67,2015," 5,283 "
230,no,Private Sector,2,1,1,1,Ontario,no,Yellow,yes,N,7,Type 1,57090.03,144000,97,2015," 1,485 "
231,no,Private Sector,1,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,840438.85,332322.71,67,2015," 4,960 "
232,no,Public Sector,2,1,1,1,Ontario,no,Yellow,no,N,7,Type 3,1221827.29,3320300.11,739,2015," 4,493 "
233,no,Private Sector,2,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,4480996.51,2465707.71,81,2015," 30,441 "
234,no,Private Sector,1,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,822897.1,524739.35,97,2015," 5,410 "
235,no,Private Sector,2,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,1065721.42,810919.98,308,2015," 2,633 "
236,no,Private Sector,2,1,1,1,Ontario,no,Yellow,no,N,7,Type 3,39214614.28,0,465,2015, -   
237,no,Private Sector,2,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,142860.38,0,81,2015, -   
238,no,Private Sector,2,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,3643364.22,3243823.12,126,2015," 25,745 "
239,no,Private Sector,1,1,1,2,Ontario,no,Blue,yes,Y,11,Type 3,290206.12,106469.89,81,2015," 1,314 "
240,no,Private Sector,1,1,1,1,Ontario,no,Yellow,yes,N,7,Type 1,228485.22,180000,81,2015," 2,222 "
241,no,Private Sector,2,1,1,1,Ontario,no,Yellow,no,N,7,Type 3,28997.35,0,81,2015, -   
242,no,Public Sector,3,2,1,5,Ontario,no,Yellow,no,N,15,Type 2,8510530.96,3741596.5,81,2015," 46,193 "
243,no,Private Sector,2,1,1,1,Ontario,yes,Yellow,yes,N,7,Type 3,75360.85,0.21,81,2015, 0 
244,no,Private Sector,1,1,1,1,Ontario,yes,Yellow,yes,N,7,Type 3,-1950009.21,0,0,2015, -   
245,no,Private Sector,1,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,3176770.32,1892006.08,826,2015," 2,291 "
246,no,Private Sector,1,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,102975.25,0,81,2015, -   
247,no,Private Sector,1,1,1,2,Ontario,no,Blue,yes,Y,11,Type 2,2450129.99,1145441.47,81,2015," 14,141 "
248,no,Public Sector,3,1,1,1,Ontario,no,Yellow,yes,N,7,Type 2,-1135570.6,1902024.44,36,2015," 52,834 "
249,no,Public Sector,3,1,1,1,Ontario,no,Yellow,yes,N,7,Type 2,150823.5,782999.44,97,2015," 8,072 "
250,no,Public Sector,3,1,1,1,Ontario,no,Yellow,yes,N,7,Type 2,801781.53,574869.52,67,2015," 8,580 "
251,no,Private Sector,2,1,1,1,Ontario,yes,Yellow,no,N,7,Type 3,-7440.01,0,615,2015, -   
252,no,Private Sector,2,1,1,1,Ontario,yes,Yellow,yes,N,7,Type 3,-19692.84,0,1224,2015, -   
253,no,Public Sector,4,2,1,3,Ontario,no,Yellow,no,N,15,Type 2,8849165.18,23172168,1163,2015," 19,924 "
254,no,Private Sector,2,1,1,1,Ontario,yes,Yellow,yes,N,7,Type 3,-394921.49,0,1193,2015, -   
255,yes,Public Sector,3,2,1,1,Ontario,no,Yellow,no,N,15,Type 2,0,5389191.07,615,2015," 8,763 "
256,no,Private Sector,3,1,1,1,Ontario,no,Yellow,no,N,7,Type 2,982749.42,0,462,2015, -   
257,no,Public Sector,1,1,1,1,Ontario,no,Yellow,yes,Y,10,Type 3,432216.39,2560.53,67,2015, 38 
258,no,Private Sector,1,1,1,2,Ontario,no,Blue,yes,Y,11,Type 3,152671.13,59898.28,97,2015, 618 
259,no,Private Sector,1,1,1,2,Ontario,no,Blue,yes,Y,11,Type 3,-176043.18,57829.94,97,2015, 596 
260,no,Public Sector,1,1,1,1,Ontario,no,Yellow,yes,Y,10,Type 3,-1023773.6,109549.35,67,2015," 1,635 "
261,no,Private Sector,2,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,133784.39,144000,829,2015, 174 
262,no,Public Sector,3,1,1,1,Ontario,no,Yellow,yes,Y,10,Type 1,569038.93,0.36,67,2015, 0 
263,no,Private Sector,1,1,1,2,Ontario,no,Blue,yes,Y,11,Type 3,597629.96,80983.46,67,2015," 1,209 "
264,no,Private Sector,1,1,1,2,Ontario,no,Blue,yes,Y,11,Type 3,-157679.59,19251.05,67,2015, 287 
265,no,Private Sector,1,1,1,2,Ontario,no,Blue,yes,Y,11,Type 3,167354.42,26797.31,67,2015, 400 
266,no,Private Sector,1,1,1,2,Ontario,no,Blue,yes,Y,11,Type 3,-151991.16,80266.99,67,2015," 1,198 "
267,no,Private Sector,1,1,1,2,Ontario,no,Blue,yes,Y,11,Type 3,-235673.74,49857.38,67,2015, 744 
268,no,Private Sector,1,1,1,2,Ontario,no,Blue,yes,Y,11,Type 3,102513.51,33845.04,67,2015, 505 
269,no,Private Sector,1,1,1,2,Ontario,no,Blue,yes,Y,11,Type 3,13755.83,52082.35,67,2015, 777 
270,no,Private Sector,1,1,1,2,Ontario,no,Blue,yes,Y,11,Type 3,18057.06,19918.87,67,2015, 297 
271,no,Private Sector,1,1,1,2,Ontario,no,Blue,yes,Y,11,Type 3,-331549.15,213168.35,67,2015," 3,182 "
272,no,Private Sector,1,1,1,2,Ontario,no,Blue,yes,Y,11,Type 3,-699914.15,494804.76,97,2015," 5,101 "
273,no,Private Sector,1,1,1,2,Ontario,no,Blue,yes,Y,11,Type 3,-280894.35,16674.73,97,2015, 172 
274,no,Private Sector,1,1,1,2,Ontario,no,Blue,yes,Y,11,Type 3,141253.39,88205.35,97,2015, 909 
275,no,Private Sector,1,1,1,2,Ontario,no,Blue,yes,Y,11,Type 3,138824.64,46345.55,97,2015, 478 
276,no,Private Sector,1,1,1,2,Ontario,no,Blue,yes,Y,11,Type 3,82030.13,11284.45,97,2015, 116 
277,no,Private Sector,1,1,1,2,Ontario,no,Blue,yes,Y,11,Type 3,-11431.46,7846.68,97,2015, 81 
278,no,Private Sector,1,1,1,2,Ontario,no,Blue,yes,Y,11,Type 3,-40819.09,-315423.58,97,2015,"-3,252 "
279,no,Private Sector,1,1,1,2,Ontario,no,Blue,yes,Y,11,Type 3,-122339.23,0.28,97,2015, 0 
280,no,Private Sector,1,1,1,2,Ontario,no,Blue,yes,Y,11,Type 3,22395.55,-1510686.89,97,2015,"-15,574 "
281,no,Private Sector,1,1,1,2,Ontario,no,Blue,yes,Y,11,Type 3,127731.47,-4189892.66,67,2015,"-62,536 "
282,no,Private Sector,1,1,1,2,Ontario,no,Blue,yes,Y,11,Type 3,56329.32,-2673.94,67,2015,-40 
283,no,Private Sector,1,1,1,2,Ontario,no,Blue,yes,Y,11,Type 3,54224.84,72886.9,67,2015," 1,088 "
284,no,Public Sector,1,1,1,1,Ontario,no,Yellow,yes,Y,10,Type 2,-53511.45,0,0,2015, -   
285,no,Private Sector,5,2,1,1,Ontario,no,Yellow,yes,N,11,Type 3,1394740.97,1425556.38,97,2015," 14,696 "
286,no,Private Sector,1,1,1,2,Ontario,no,Blue,yes,Y,11,Type 3,635981.64,770731.94,97,2015," 7,946 "
287,no,Private Sector,5,2,1,1,Ontario,no,Yellow,yes,N,11,Type 3,608639.92,224699.28,97,2015," 2,316 "
288,no,Private Sector,1,1,1,1,Alberta,no,Yellow,yes,N,11,Type 3,-15886973.14,1035547.42,97,2015," 10,676 "
289,no,Private Sector,5,2,1,1,Ontario,no,Yellow,yes,N,11,Type 3,155291.67,101828.34,67,2015," 1,520 "
290,no,Private Sector,5,2,1,1,Ontario,no,Yellow,yes,N,11,Type 3,145861.48,53079.52,97,2015, 547 
291,no,Private Sector,5,2,1,1,Ontario,no,Yellow,yes,N,11,Type 3,69138.07,72025.47,97,2015, 743 
292,no,Private Sector,5,2,1,1,Ontario,no,Yellow,yes,N,11,Type 3,-1183293.24,200016.45,67,2015," 2,985 "
293,no,Private Sector,1,1,1,2,Ontario,no,Blue,yes,Y,11,Type 3,-252570.23,135091,67,2015," 2,016 "
294,no,Private Sector,5,2,1,1,Ontario,no,Yellow,yes,N,11,Type 3,18307.78,78134.32,97,2015, 806 
295,no,Private Sector,5,2,1,1,Ontario,no,Yellow,yes,N,11,Type 3,-185850.85,92149.64,97,2015, 950 
296,no,Public Sector,1,4,1,1,Ontario,no,Yellow,yes,N,7,Type 3,0,0.38,97,2015, 0 
297,no,Private Sector,5,2,1,1,Ontario,no,Yellow,yes,N,11,Type 2,-7309605.32,1265840.62,67,2015," 18,893 "
298,no,Private Sector,5,2,1,1,Ontario,no,Yellow,yes,N,11,Type 2,-5112953.39,1292594.37,67,2015," 19,292 "
299,no,Private Sector,5,2,1,1,Ontario,no,Yellow,yes,N,11,Type 2,-5242787.57,1231870.45,67,2015," 18,386 "
300,no,Private Sector,5,2,1,1,Ontario,no,Yellow,yes,N,11,Type 2,-6470381.01,1281043.9,67,2015," 19,120 "
301,no,Private Sector,5,2,1,1,Ontario,no,Yellow,yes,N,11,Type 2,-6236119.84,1275316.47,67,2015," 19,035 "
302,no,Private Sector,5,2,1,1,Ontario,no,Yellow,yes,N,11,Type 2,-5742833.8,1272896.64,67,2015," 18,998 "
303,no,Private Sector,5,2,1,1,Ontario,no,Yellow,yes,N,11,Type 2,0,-2666840.01,67,2015,"-39,804 "
304,no,Private Sector,5,2,1,1,Ontario,no,Yellow,yes,N,11,Type 2,0,-1142931.01,67,2015,"-17,059 "
305,no,Private Sector,5,2,1,1,Ontario,no,Yellow,yes,N,11,Type 2,1014866.17,1938105.39,67,2015," 28,927 "
306,no,Private Sector,5,2,1,1,Ontario,no,Yellow,yes,N,11,Type 2,664143.22,1471536.61,67,2015," 21,963 "
307,no,Private Sector,5,2,1,1,Ontario,no,Yellow,yes,N,11,Type 2,-1122903.87,1359964.82,67,2015," 20,298 "
308,no,Private Sector,2,1,1,1,Alberta,no,Yellow,no,N,7,Type 3,-14988067.84,8069931.79,97,2015," 83,195 "
309,no,Private Sector,2,1,1,1,Alberta,no,Yellow,no,N,7,Type 3,-2620429.31,1826265.65,97,2015," 18,827 "
310,no,Private Sector,2,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,6564314.2,0,97,2015, -   
311,no,Private Sector,2,1,1,1,Ontario,yes,Yellow,yes,N,7,Type 2,8654802.21,0,97,2015, -   
312,no,Private Sector,2,1,2,1,Ontario,no,Yellow,yes,N,7,Type 3,27033.86,46666.77,963,2016, 48 
313,no,Public Sector,2,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,1080914.43,1544842.03,454,2016," 3,403 "
314,no,Public Sector,2,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,-291036.64,88376.51,218,2016, 405 
315,no,Public Sector,1,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,58845.47,24693.32,176,2016, 140 
316,no,Private Sector,3,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,431436.07,211455.97,30,2016," 7,049 "
317,no,Private Sector,1,1,1,2,British Columbia,no,Red,yes,N,13,Type 1,43638.79,45981.03,33,2016," 1,393 "
318,no,Private Sector,1,1,1,2,British Columbia,no,Red,yes,N,13,Type 1,3770608.22,1702324.98,526,2016," 3,236 "
319,no,Private Sector,3,1,1,2,British Columbia,no,Red,yes,N,13,Type 1,2931220.19,1707611.49,478,2016," 3,572 "
320,yes,Public Sector,5,2,1,1,Ontario,no,Yellow,no,N,15,Type 2,7349270.64,3239548.65,712,2016," 4,550 "
321,no,Private Sector,3,1,1,1,Ontario,no,Yellow,yes,N,7,Type 2,75421.25,26504.54,127,2016, 209 
322,no,Private Sector,3,1,1,1,Ontario,no,Yellow,yes,N,7,Type 2,10666.81,16679.94,139,2016, 120 
323,no,Private Sector,2,1,1,1,Ontario,no,Yellow,no,N,7,Type 3,98320.15,67547.04,533,2016, 127 
324,no,Private Sector,3,1,1,1,Ontario,no,Yellow,yes,N,7,Type 2,-2259.07,9259.71,856,2016, 11 
325,no,Private Sector,3,1,1,1,Ontario,no,Yellow,yes,N,7,Type 2,72551.72,17764.84,519,2016, 34 
326,no,Private Sector,1,1,1,1,Ontario,no,Yellow,yes,N,7,Type 1,285667.93,207242.98,136,2016," 1,524 "
327,no,Private Sector,1,1,1,1,Ontario,no,Yellow,yes,N,7,Type 1,7467.57,0,122,2016, -   
328,no,Public Sector,2,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,861953.01,812453.42,468,2016," 1,736 "
329,no,Private Sector,3,1,1,1,Ontario,no,Yellow,yes,N,7,Type 2,37857.27,29786.59,825,2016, 36 
330,no,Private Sector,1,1,1,1,Ontario,no,Yellow,yes,N,7,Type 2,-2576.44,-1000000.04,0,2016, -   
331,no,Public Sector,2,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,721883.48,304685.38,372,2016, 819 
332,no,Private Sector,2,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,446208.11,161291,110,2017," 1,466 "
333,no,Private Sector,2,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,422975.87,82094.46,465,2016, 177 
334,no,Public Sector,2,1,2,1,Ontario,no,Yellow,yes,N,7,Type 3,15403.1,41085.25,284,2016, 145 
335,no,Private Sector,2,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,439244.91,160767.1,0,2015, -   
336,no,Private Sector,1,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,49015.37,83821.78,402,2015, 209 
337,no,Public Sector,2,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,23950.17,67337.2,402,2015, 168 
338,no,Private Sector,3,1,1,1,Ontario,no,Yellow,yes,N,7,Type 2,288375.71,107438.24,402,2015, 267 
339,no,Private Sector,1,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,123529.63,39826.45,0,2015, -   
340,no,Public Sector,5,2,1,1,Quebec,yes,Yellow,no,N,17,Type 2,6427222.38,2170391.98,244,2015," 8,895 "
341,no,Public Sector,5,2,1,1,Quebec,yes,Yellow,no,N,17,Type 2,52039527.4,32553485,584,2015," 55,742 "
342,no,Public Sector,5,2,1,6,Ontario,yes,Indigo,no,N,15,Type 2,-31954501,399114010.7,2320,2015," 172,032 "
343,no,Public Sector,3,5,1,6,Ontario,no,Violet,yes,N,20,Type 2,1015327857,0,2320,2015, -   
344,no,Public Sector,2,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,30274.5,10961.28,383,2016, 29 
345,no,Private Sector,1,1,1,1,Ontario,no,Yellow,yes,N,7,Type 1,169955.59,708031.38,203,2017," 3,488 "
346,no,Public Sector,3,5,1,6,Ontario,no,Violet,yes,Y,20,Type 2,3588348,0,2320,2015, -   
347,yes,Public Sector,5,2,1,3,International,yes,Yellow,no,N,18,Type 2,30593460,55810000,97,2015," 575,361 "
348,no,Private Sector,2,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,34971.67,64384.37,66,2015, 976 
349,no,Private Sector,1,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,64556.37,24806.13,0,2015, -   
350,no,Private Sector,1,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,3150.24,16770.08,0,2015, -   
351,no,Private Sector,1,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,42831.17,42444.44,0,2015, -   
352,no,Private Sector,2,1,2,1,Ontario,no,Yellow,yes,N,7,Type 3,100990.37,142978.27,820,2016, 174 
353,no,Private Sector,2,1,2,1,Ontario,no,Yellow,yes,N,7,Type 3,34586.33,1311.62,1008,2015, 1 
354,no,Private Sector,2,1,2,1,Ontario,no,Yellow,yes,N,7,Type 3,34328.25,-29096.15,1008,2015,-29 
355,no,Private Sector,1,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,23151.32,24586.21,0,2015, -   
356,no,Public Sector,2,1,1,1,Ontario,no,Blue,no,N,21,Type 3,2312577.04,-7768954.7,1150,2015,"-6,756 "
357,no,Public Sector,2,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,4354597.29,1406319.99,739,2015," 1,903 "
358,no,Public Sector,2,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,2446691.86,826645.57,1313,2015, 630 
359,no,Private Sector,1,1,1,1,Ontario,no,Yellow,yes,N,7,Type 1,5694311.81,3783000,97,2015," 39,000 "
360,no,Private Sector,1,1,1,1,Ontario,no,Yellow,yes,N,7,Type 1,90177.67,144000,97,2015," 1,485 "
361,no,Private Sector,2,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,75018.34,10000.24,0,2015, -   
362,no,Private Sector,2,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,89174.17,18572.03,0,2015, -   
363,no,Private Sector,2,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,360654.94,48390.02,279,2015, 173 
364,no,Private Sector,2,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,59875.64,-16783.64,97,2015,-173 
365,no,Public Sector,1,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,2684386.21,864856.21,97,2015," 8,916 "
366,no,Private Sector,1,1,1,2,Ontario,no,Blue,yes,Y,11,Type 3,-785671.07,320488.94,97,2015," 3,304 "
367,no,Private Sector,2,1,1,1,Alberta,no,Yellow,yes,N,7,Type 3,10121390.84,4416463.21,97,2015," 45,531 "
368,no,Private Sector,5,2,1,1,Ontario,no,Yellow,yes,N,11,Type 3,0,-3925439.69,97,2015,"-40,468 "
369,no,Private Sector,1,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,51023.61,15667.69,0,2015, -   
370,no,Private Sector,3,1,1,1,Saskatchewan,no,Red,yes,N,6,Type 1,88176.41,143093.6,0,2015, -   
371,no,Private Sector,1,1,1,2,Alberta,no,Red,yes,N,5,Type 1,-183640.56,232000,1139,2015, 204 
372,no,Private Sector,1,1,1,2,Alberta,no,Red,yes,N,5,Type 1,1345529.56,294000,0,2015, -   
373,no,Public Sector,2,1,1,1,Ontario,no,Yellow,yes,N,7,Type 3,6058.46,53854.09,979,2015, 55 
374,yes,Indirect Public/Utility,3,1,1,3,Alberta,yes,Yellow,yes,N,16,Type 2,-11354153.4,4047121,8,2015," 505,890 "
375,no,Private Sector,1,1,1,2,Ontario,no,Blue,yes,Y,11,Type 3,0,8984570,0,2015, -   
376,no,Private Sector,1,1,1,1,Alberta,no,Red,yes,N,13,Type 3,15183.59,20933.41,447,2015, 47 
377,no,Private Sector,1,1,1,1,Alberta,no,Red,yes,N,13,Type 1,166433.33,156062.55,408,2015, 383 
378,no,Private Sector,1,1,1,2,Alberta,no,Red,yes,N,5,Type 3,7507784.77,9359438.55,0,2015, -   
379,no,Private Sector,1,1,1,1,Ontario,no,Red,yes,N,1,Type 1,7003288.86,8265841.92,697,2015," 11,859 "
380,no,Private Sector,1,1,1,1,Ontario,no,Red,yes,N,1,Type 1,4208667.24,3796536.85,497,2015," 7,639 "
381,no,Private Sector,1,1,1,1,Ontario,no,Red,yes,N,1,Type 1,8778844.42,6921406,696,2015," 9,945 "
382,no,Private Sector,1,1,1,1,Ontario,no,Red,yes,N,1,Type 1,2259910.3,1968326.82,273,2015," 7,210 "
383,no,Private Sector,1,1,1,2,Alberta,no,Red,yes,N,11,Type 3,34690.88,0,151,2015, -   
384,no,Private Sector,1,1,1,2,Ontario,no,Orange,yes,Y,3,Type 2,40690.19,47986.25,70,2015, 686 
385,no,Private Sector,1,1,1,1,Alberta,no,Red,yes,N,1,Type 3,515271.9,31369.27,460,2015, 68 
386,no,Private Sector,1,1,1,1,Saskatchewan,no,Red,yes,N,1,Type 1,-202330.6,2500,167,2015, 15 
387,no,Public Sector,3,1,1,2,Ontario,no,Orange,yes,Y,3,Type 2,346941.05,220504.64,358,2016, 616 
388,no,Public Sector,3,1,1,2,Ontario,no,Orange,yes,Y,3,Type 2,160718.53,114298.78,330,2016, 346 
389,no,Public Sector,2,1,1,3,Ontario,no,Orange,no,N,3,Type 1,93958775.11,246782623.6,3744,2014," 65,914 "
390,no,Public Sector,2,1,1,3,Ontario,no,Orange,no,N,3,Type 1,132866626.7,562506102.2,3256,2016," 172,760 "
391,no,Public Sector,3,1,1,2,Ontario,no,Orange,yes,Y,3,Type 2,90033.46,369440.04,354,2016," 1,044 "
392,no,Private Sector,3,2,1,1,Nova Scotia,no,Red,yes,N,8,Type 1,272686.92,500794.47,330,2016," 1,518 "
393,no,Public Sector,3,1,1,1,Ontario,no,Green,yes,N,14,Type 1,18264981.79,678442.04,1580,2016, 429 
394,no,Private Sector,1,1,1,2,Alberta,no,Red,yes,N,5,Type 2,739005.16,1141341.16,0,2016, -   
395,no,Public Sector,3,1,1,1,Ontario,no,Green,yes,N,14,Type 1,-2756.94,236528.73,140,2016," 1,689 "
396,no,Indirect Public/Utility,1,4,1,1,Ontario,no,Yellow,yes,N,19,Type 1,388370.61,-4148617.17,270,2016,"-15,365 "
397,no,Public Sector,1,1,1,1,Saskatchewan,no,Green,yes,N,7,Type 3,518622.47,317113.57,-24956,2016,-13 
398,no,Public Sector,2,1,1,1,Alberta,no,Green,yes,N,7,Type 3,1640116.3,796702.68,262,2016," 3,041 "
399,no,Public Sector,1,1,1,1,Alberta,no,Green,yes,N,7,Type 3,817604.74,448626.15,265,2016," 1,693 "
400,no,Public Sector,1,1,1,1,Alberta,no,Green,yes,N,7,Type 3,767424.19,651930.27,255,2016," 2,557 "
401,no,Public Sector,2,1,1,1,Saskatchewan,no,Green,yes,N,7,Type 3,1326726.8,967597.16,477,2016," 2,029 "
402,no,Indirect Public/Utility,1,1,1,1,Ontario,no,Blue,no,Y,13,Type 1,1484143.41,956676,238,2016," 4,020 "
403,no,Public Sector,1,1,1,2,Ontario,no,Orange,yes,Y,3,Type 2,-662541.15,384220.87,361,2016," 1,064 "
404,no,Indirect Public/Utility,2,1,1,3,Ontario,no,Blue,yes,N,21,Type 3,270384.89,181332.16,360,2016, 504 
405,no,Public Sector,2,1,1,3,Ontario,no,Orange,no,N,3,Type 1,18099518.14,27062412.96,0,2018, -   
406,no,Indirect Public/Utility,2,1,1,3,Ontario,no,Blue,yes,N,22,Type 3,209402.91,156862.28,363,2016, 432 
407,no,Indirect Public/Utility,2,1,1,3,Ontario,no,Blue,yes,N,21,Type 3,363972.22,774122.36,388,2016," 1,995 "
408,no,Indirect Public/Utility,3,1,1,2,Ontario,no,Blue,yes,N,22,Type 3,264070.5,180899.6,291,2016, 622 
409,no,Indirect Public/Utility,2,1,1,3,Ontario,no,Blue,yes,N,21,Type 3,119372.04,74527.53,217,2016, 343 
410,no,Indirect Public/Utility,2,1,1,3,Ontario,no,Blue,yes,N,21,Type 3,88483.59,144622.55,252,2016, 574 
411,no,Indirect Public/Utility,2,1,1,3,Ontario,no,Blue,yes,N,21,Type 3,11699.58,6229.07,207,2016, 30 
412,no,Indirect Public/Utility,2,1,1,3,Ontario,no,Blue,yes,N,21,Type 3,-41713.63,29759.76,196,2016, 152 
413,no,Indirect Public/Utility,2,1,1,3,Ontario,no,Blue,yes,N,21,Type 3,-49499.82,54555.77,151,2016, 361 
414,no,Indirect Public/Utility,2,1,1,3,Ontario,no,Blue,yes,N,21,Type 3,564342.34,174252.13,272,2016, 641 
415,no,Public Sector,1,1,1,2,Ontario,no,Orange,yes,Y,3,Type 2,235623.54,30067.56,261,2016, 115 
416,no,Public Sector,1,1,1,2,Ontario,no,Orange,no,Y,3,Type 2,866713.26,385968.44,411,2016, 939 
417,no,Indirect Public/Utility,2,1,1,3,Ontario,no,Blue,yes,N,21,Type 3,362516.02,167484.77,128,2016," 1,308 "
418,no,Indirect Public/Utility,2,1,2,2,Ontario,no,Blue,no,Y,23,Type 1,653902.25,0,1019,2016, -   
419,no,Indirect Public/Utility,2,1,2,2,Ontario,no,Blue,no,Y,23,Type 1,4745915.82,0,1019,2016, -   
420,no,Indirect Public/Utility,2,1,2,2,Ontario,no,Blue,no,Y,23,Type 1,2857131.9,0,1019,2016, -   
421,no,Indirect Public/Utility,2,1,2,2,Ontario,no,Blue,no,Y,23,Type 1,1090474.73,0,1019,2016, -   
422,no,Indirect Public/Utility,2,1,2,2,Ontario,no,Blue,no,Y,23,Type 1,8010116.33,0,1019,2016, -   
423,no,Indirect Public/Utility,2,1,1,3,Ontario,no,Blue,yes,N,22,Type 3,53530.17,20781.87,91,2016, 228 
424,no,Private Sector,1,3,1,1,Ontario,no,Red,yes,N,1,Type 4,1799084.61,1508141.27,239,2016," 6,310 "
425,no,Private Sector,1,1,1,1,Alberta,no,Red,yes,N,1,Type 2,-506.61,1900.29,460,2015, 4 
426,no,Indirect Public/Utility,2,1,1,3,Ontario,no,Blue,yes,N,21,Type 3,225685.13,120405.94,92,2016," 1,309 "
427,no,Public Sector,3,2,1,1,British Columbia,no,Red,yes,N,6,Type 2,356960.37,281742.55,429,2016, 657 
428,no,Public Sector,2,1,1,3,Ontario,no,Orange,no,N,3,Type 1,9985695.22,6946138,1246,2014," 5,575 "
429,no,Indirect Public/Utility,2,1,1,3,Ontario,no,Blue,yes,N,21,Type 3,58252.51,37191.94,234,2016, 159 
430,no,Indirect Public/Utility,2,1,1,3,Ontario,no,Blue,yes,N,21,Type 3,-5955.34,25934.86,393,2016, 66 
431,no,Indirect Public/Utility,2,1,1,3,Ontario,no,Blue,yes,N,21,Type 3,-2764.66,317712.6,248,2016," 1,281 "
432,no,Indirect Public/Utility,2,1,1,3,Ontario,no,Blue,yes,N,21,Type 3,266578.81,156537.73,435,2016, 360 
433,no,Indirect Public/Utility,2,1,1,3,Ontario,no,Blue,yes,N,21,Type 3,-52779.7,165327.18,191,2016, 866 
434,no,Private Sector,1,1,1,1,Alberta,no,Red,yes,N,1,Type 1,82024.06,35591,700,2015, 51 
435,no,Private Sector,1,1,1,1,Alberta,no,Red,yes,N,1,Type 1,105978.89,67255.08,577,2015, 117 
436,no,Public Sector,1,2,2,1,Alberta,no,Red,yes,N,6,Type 2,-504234.11,1448377.19,648,2016," 2,235 "
437,no,Indirect Public/Utility,2,1,1,3,Ontario,no,Blue,yes,N,21,Type 3,180617.28,166345.28,436,2016, 382 
